id,first,last,email,password,isManager
1,Tarrance,Baglow,tbaglow0@macromedia.com,fTmtyOqfO,false
2,Mella,Filipson,mfilipson1@purevolume.com,QAXyZ1,false
3,Matthieu,Fermin,mfermin2@shinystat.com,BdULyM6O,true
4,Cherilyn,Beamish,cbeamish3@ocn.ne.jp,PGIJwWziD7ek,true
5,Derrek,Maynard,dmaynard4@weibo.com,VEpOrzS1,false
6,Syman,Arons,sarons5@squarespace.com,6Jw6tFuRgYnm,false
7,Shelbi,Blanning,sblanning6@apache.org,4ymVIAUiVcTh,false
8,Sibilla,Hamblett,shamblett7@ocn.ne.jp,HG6YHz53I1,false
9,Tanya,Roubert,troubert8@meetup.com,RcTPNe2AU,false
10,Bathsheba,Beushaw,bbeushaw9@miibeian.gov.cn,ceMGbLzlt,true
